step,mloss,gloss,loss,epsilon
100.0,3.1744,1.0086,4.183,0.8734714761087377
200.0,2.9777,0.9925,3.9702,1.1556180550546633
300.0,2.9409,0.9987,3.9396,1.3822643593836637
400.0,2.8749,1.0002,3.8750999999999998,1.5788538390973286
500.0,2.8626,0.9992,3.8618,1.7556618459684823
600.0,2.8456,1.0107,3.8563,1.9181353513777244
700.0,2.8266,1.0018,3.8284000000000002,2.06958941246688
800.0,2.8337,0.9985,3.8322,2.2122236831694613
900.0,2.8294,0.9952,3.8246,2.3475877651073187
1000.0,2.8034,0.9998,3.8032,2.4768226830713704
1100.0,2.8048,1.0019,3.8067,2.600797770212235
1200.0,2.8089,0.9977,3.8066,2.7201936326356515
1300.0,2.7964,1.0048,3.8012,2.835555041461524
1400.0,2.8007,1.0013,3.802,2.947326178575408
1500.0,2.7951,0.9925,3.7876000000000003,3.0558749321297323
1600.0,2.8048,1.0061,3.8109,3.161510064456101
1700.0,2.7965,1.0034,3.7999,3.264493769168347
1800.0,2.812,1.0033,3.8152999999999997,3.36505095423428
1900.0,2.7893,1.0095,3.7988,3.4633762713808083
2000.0,2.7893,1.0032,3.7925,3.5596395647189305
2100.0,2.7853,1.0046,3.7899,3.6539900621267294
2200.0,2.7703,0.9984,3.7687,3.746559737533219
2300.0,2.7848,0.9949,3.7797,3.837465970499125
2400.0,2.7927,1.0013,3.794,3.9268137608204245
