step,mloss,gloss,loss,epsilon
100.0,3.1378,1.0115,4.1493,2.1915994623664163
200.0,2.9384,0.9925,3.9309000000000003,2.6820338372511876
300.0,2.9048,0.9987,3.9034999999999997,3.079702248114848
400.0,2.8429,1.0,3.8429,3.42963642110687
500.0,2.8336,0.9993,3.8329,3.748237133904309
600.0,2.8193,1.0108,3.8301,4.0439473520858265
700.0,2.8027,1.0018,3.8045,4.321884725809244
800.0,2.8118,0.9986,3.8104,4.5854614222898915
900.0,2.8091,0.9952,3.8043,4.8371001070334865
1000.0,2.7841,0.9998,3.7839,5.078600149184459
1100.0,2.7864,1.0023,3.7887,5.3113440576507545
1200.0,2.7917,0.9981,3.7898,5.536422578415121
1300.0,2.7793,1.0049,3.7842000000000002,5.754715154821531
1400.0,2.783,1.003,3.7859999999999996,5.966943429549852
1500.0,2.7768,0.9936,3.7704000000000004,6.17370862711637
1600.0,2.787,1.0071,3.7941000000000003,6.3755180472396615
1700.0,2.7791,1.0046,3.7837,6.57280459125993
1800.0,2.7944,1.0046,3.799,6.7659411095151185
1900.0,2.7716,1.0105,3.7821,6.95525167173135
2000.0,2.7719,1.0037,3.7756,7.141019999322304
2100.0,2.7684,1.0049,3.7733,7.323496244030681
2200.0,2.753,0.9986,3.7516000000000003,7.502902229801059
2300.0,2.7673,0.9951,3.7624,7.679435894192842
2400.0,2.7757,1.0012,3.7769000000000004,7.853274649906999
